Sample,Method,Total Reads,Mapped Reads,Properly Paired Reads,Uniquely Mapped Reads,Average MAPQ
NC.Staphy1.10E,Standard Bowtie2 (-k 16),3657,3657,3420,3539,197.0683620453924
NC.Staphy1.10E,Standard Bowtie2 (-a),160523,160523,159710,160405,253.680214050323
NC.Staphy1.10E,Igor's Bowtie2 (-a -d -l 100),4117,4117,3818,4004,203.91255768763662
NC.Staphy1.11H,Standard Bowtie2 (-k 16),6974,6974,6454,6730,193.34858044164037
NC.Staphy1.11H,Standard Bowtie2 (-a),115664,115664,114792,115420,251.2827068059206
NC.Staphy1.11H,Igor's Bowtie2 (-a -d -l 100),7346,7346,6800,7102,196.6434794445957
NC.Staphy1.2C,Standard Bowtie2 (-k 16),5927,5927,5440,5738,198.50497722287835
NC.Staphy1.2C,Standard Bowtie2 (-a),6698,6698,6122,6509,205.00806210809196
NC.Staphy1.2C,Igor's Bowtie2 (-a -d -l 100),6698,6698,6122,6509,205.00806210809196
NC.Staphy1.3F,Standard Bowtie2 (-k 16),3035,3035,2690,2950,210.30313014827018
NC.Staphy1.3F,Standard Bowtie2 (-a),1044453,1044453,1038564,1044368,254.86987351273825
NC.Staphy1.3F,Igor's Bowtie2 (-a -d -l 100),4812,4812,4576,4737,227.76080631753948
NC.Staphy1.5A,Standard Bowtie2 (-k 16),59735,59735,56146,58168,190.9763455260735
NC.Staphy1.5A,Standard Bowtie2 (-a),125968,125968,120526,124400,224.6374634827893
NC.Staphy1.5A,Igor's Bowtie2 (-a -d -l 100),70182,70182,65750,68617,200.52114502294035
NC.Staphy1.6D,Standard Bowtie2 (-k 16),2939,2939,2674,2869,198.63899285471248
NC.Staphy1.6D,Standard Bowtie2 (-a),56591,56591,55750,56520,252.06843844427559
NC.Staphy1.6D,Igor's Bowtie2 (-a -d -l 100),3277,3277,2942,3210,204.68568812938665
NC.Staphy1.7G,Standard Bowtie2 (-k 16),1906,1906,1764,1858,205.0781741867786
NC.Staphy1.7G,Standard Bowtie2 (-a),108842,108842,108442,108794,254.12578783925323
NC.Staphy1.7G,Igor's Bowtie2 (-a -d -l 100),2073,2073,1944,2025,209.3449107573565
NC.Staphy1.9B,Standard Bowtie2 (-k 16),4091,4091,3688,3967,200.68834025910536
NC.Staphy1.9B,Standard Bowtie2 (-a),457077,457077,455444,456951,254.51055730216135
NC.Staphy1.9B,Igor's Bowtie2 (-a -d -l 100),4019,4019,3686,3902,200.60189101766608
NC.Staphy2.10E,Standard Bowtie2 (-k 16),1287,1287,1136,1238,204.12121212121212
NC.Staphy2.10E,Standard Bowtie2 (-a),1551,1551,1136,1502,212.78143133462282
NC.Staphy2.10E,Igor's Bowtie2 (-a -d -l 100),1286,1286,1136,1238,204.27993779160187
NC.Staphy2.11H,Standard Bowtie2 (-k 16),37145,37145,35072,36128,191.02864450127876
NC.Staphy2.11H,Standard Bowtie2 (-a),103465,103465,99118,102448,232.0332382931426
NC.Staphy2.11H,Igor's Bowtie2 (-a -d -l 100),43619,43619,41146,42601,200.54572548659988
NC.Staphy2.1A,Standard Bowtie2 (-k 16),95310,95310,90466,93531,189.79176371839262
NC.Staphy2.1A,Standard Bowtie2 (-a),2669917,2669917,2647726,2668144,252.67189054940658
NC.Staphy2.1A,Igor's Bowtie2 (-a -d -l 100),106411,106411,101716,104682,196.86367010929322
NC.Staphy2.2D,Standard Bowtie2 (-k 16),5979,5979,5500,5843,199.97441043652785
NC.Staphy2.2D,Standard Bowtie2 (-a),273035,273035,271530,272897,253.79405936967788
NC.Staphy2.2D,Igor's Bowtie2 (-a -d -l 100),7987,7987,7478,7858,214.12595467634907
NC.Staphy2.3G,Standard Bowtie2 (-k 16),1630,1630,780,1543,208.48650306748468
NC.Staphy2.3G,Standard Bowtie2 (-a),729955,729955,713656,729874,254.8961346932345
NC.Staphy2.3G,Igor's Bowtie2 (-a -d -l 100),6103,6103,5170,6027,243.36867114533837
NC.Staphy2.5B,Standard Bowtie2 (-k 16),2858,2858,2672,2770,202.39398180545837
NC.Staphy2.5B,Standard Bowtie2 (-a),111771,111771,108176,111682,253.65257535496684
NC.Staphy2.5B,Igor's Bowtie2 (-a -d -l 100),3175,3175,3038,3091,208.1256692913386
NC.Staphy2.7G,Standard Bowtie2 (-k 16),3882,3882,3546,3774,196.98531684698608
NC.Staphy2.7G,Standard Bowtie2 (-a),483261,483261,481718,483157,254.53398060261432
NC.Staphy2.7G,Igor's Bowtie2 (-a -d -l 100),8470,8470,8150,8364,228.50070838252657
NC.Staphy2.9B,Standard Bowtie2 (-k 16),1958,1958,1712,1890,207.60980592441265
NC.Staphy2.9B,Standard Bowtie2 (-a),421861,421861,420900,421792,254.7794131242281
NC.Staphy2.9B,Igor's Bowtie2 (-a -d -l 100),12991,12991,12768,12927,247.97405896389807
